dataset,dimension,sample_size,pearson_correlation,spearman_correlation,metric_best_loss,metric_best_epoch,metric_total_epochs
BindingDB_IC50,128,10000,0.9782294532537207,0.9962010116419089,0.003651146776974201,321,1000
BindingDB_IC50,16,10000,0.9997835896091458,0.9997054495953107,0.0036511498037725687,384,1000
BindingDB_IC50,2,10000,0.9995525973713801,0.9997755719003506,0.5002923607826233,972,1000
BindingDB_IC50,32,10000,0.9984095583131017,0.9985937824397497,0.0036511390935629606,337,1000
BindingDB_IC50,4,10000,0.9997663343419896,0.9997120561687719,0.010015997104346752,370,1000
BindingDB_IC50,64,10000,0.997908362325698,0.9989671939820863,0.0036511458456516266,299,1000
BindingDB_IC50,8,10000,0.9997857458306028,0.9997149932819887,0.0048114159144461155,239,1000
BindingDB_Kd,128,10000,0.9920629466811796,0.9391163218542056,3.676701545715332,614,1000
BindingDB_Kd,16,10000,0.9734312075071079,0.9097181663163,23.056594848632812,999,1000
BindingDB_Kd,2,10000,0.9186159525409019,0.8460652589437068,68.79415130615234,999,1000
BindingDB_Kd,32,10000,0.9818824465966894,0.9182707707672105,15.738792419433594,992,1000
BindingDB_Kd,4,10000,0.9444978155391315,0.876939639966686,46.79981994628906,998,1000
BindingDB_Kd,64,10000,0.9863753974236532,0.9240026355705141,10.573074340820312,989,1000
BindingDB_Kd,8,10000,0.9589387248928831,0.8942787404705793,35.11135482788086,1000,1000
BindingDB_Ki,128,10000,0.9810336619232157,0.9964228208479216,0.04326063394546509,213,1000
BindingDB_Ki,16,10000,0.9996781610542311,0.9996045956220246,0.04319502040743828,388,1000
BindingDB_Ki,2,10000,0.9884299739252452,0.9946384539431514,13.491305351257324,990,1000
BindingDB_Ki,32,10000,0.9991221881222119,0.9993072765492121,0.043180156499147415,286,1000
BindingDB_Ki,4,10000,0.9998873677539979,0.9998121670790706,0.10913392901420593,993,1000
BindingDB_Ki,64,10000,0.9982358873917695,0.99882501784127,0.04318026825785637,267,1000
BindingDB_Ki,8,10000,0.9987222346200262,0.9989049451967371,0.0482262521982193,390,1000
DAVIS,128,10000,0.9869053773137919,0.7808853600688519,8.629196166992188,997,1000
DAVIS,16,10000,0.9129749888377166,0.7273935578625071,56.0611457824707,1000,1000
DAVIS,2,10000,0.7355634144975614,0.6314812744896227,149.94024658203125,711,1000
DAVIS,32,10000,0.949378556733441,0.7516548666671475,33.40971374511719,1000,1000
DAVIS,4,10000,0.8018554007798905,0.6650914719278671,117.09996032714844,1000,1000
DAVIS,64,10000,0.972090916033519,0.7692193351267457,18.80265998840332,1000,1000
DAVIS,8,10000,0.8547803353857111,0.685098680054761,89.06319427490234,1000,1000
KIBA,128,10000,0.9745985034223509,0.9796032422988564,6.151817160571227e-06,260,1000
KIBA,16,10000,0.8786201571979086,0.8409244823431892,8.500961303710938,1000,1000
KIBA,2,10000,0.8098756944104433,0.7873919944148638,12.633054733276367,1000,1000
KIBA,32,10000,0.9198229696536169,0.8771900067274812,5.509294033050537,1000,1000
KIBA,4,10000,0.8377059037115864,0.8101164462959232,11.065044403076172,1000,1000
KIBA,64,10000,0.9908488039231677,0.9813072085437398,0.1748506724834442,994,1000
KIBA,8,10000,0.8706718299148671,0.8338067477892298,8.831851959228516,1000,1000
